line_id,period_year,value
dre.receita_liquida,2014,16055.019
dre.cpv,2014,-13230.830
dre.lucro_bruto,2014,2824.189
dre.resultado_liquido,2014,9.913
bp.ativo.total,2014,16828.398
bp.passivo.total,2014,16828.398
bp.patrimonio_liquido.capital,2014,3179.458
bp.ativo.nao_circulante.imobilizado,2014,6560.893
